bpm_gt,bpm_pred,failure_reason,mean_outlier_frac,mean_pr,mean_snr,mean_stability,median_n_valid_tones,method,n_windows,rel_err_pct,scenario,segment,valid_window_rate,variable
8.675,10.693708550046335,,0.0,1.3055761456771378,7.950541695233038,0.36841115605358804,72.0,best_tone,15,24.169499591041166,cs_091339,1a,1.0,local_amplitudes
8.675,9.772613775699805,,0.0,1.3055761456771378,6.005474174497692,0.36841115605358804,72.0,equal_average,15,16.576052086388582,cs_091339,1a,1.0,local_amplitudes
8.675,11.172251753699863,,0.0,1.3055761456771378,3.3738727684821126,0.36841115605358804,72.0,liu_weighted_median,15,28.78676373141051,cs_091339,1a,1.0,local_amplitudes
8.675,9.782820388708693,,0.0,1.3055761456771378,6.340757680374472,0.36841115605358804,72.0,quality_mrc,15,16.09368927499677,cs_091339,1a,1.0,local_amplitudes
8.675,9.457215805449785,,0.0,1.3055761456771378,6.357304295612999,0.36841115605358804,72.0,snr_mrc,15,12.59896672314489,cs_091339,1a,1.0,local_amplitudes
8.675,10.733070727905549,,0.05648148148148148,1.5139245217069859,9.203663016707525,0.4108550333860527,72.0,best_tone,15,23.79310813442539,cs_091339,1a,1.0,phases
8.675,8.438548991822937,,0.05648148148148148,1.5139245217069859,7.735809508708183,0.4108550333860527,72.0,equal_average,15,24.021332747529705,cs_091339,1a,1.0,phases
8.675,9.83731687871548,,0.05648148148148148,1.5139245217069859,3.9536796786063864,0.4108550333860527,72.0,liu_weighted_median,15,13.39846546069719,cs_091339,1a,1.0,phases
8.675,8.62600563983648,,0.05648148148148148,1.5139245217069859,7.170561888772998,0.4108550333860527,72.0,quality_mrc,15,21.876287484927943,cs_091339,1a,1.0,phases
8.675,9.027411455243897,,0.05648148148148148,1.5139245217069859,9.953811140327595,0.4108550333860527,72.0,snr_mrc,15,18.249894575992425,cs_091339,1a,1.0,phases
8.675,10.741398533244336,,0.0027777777777777775,1.872531897483562,7.617886653193037,0.44135933359059965,72.0,best_tone,15,23.820156002816546,cs_091339,1a,1.0,remote_amplitudes
8.675,12.00105686674342,,0.0027777777777777775,1.872531897483562,5.170826953022047,0.44135933359059965,72.0,equal_average,15,38.34071316130742,cs_091339,1a,1.0,remote_amplitudes
8.675,11.16672286356289,,0.0027777777777777775,1.872531897483562,3.957963380220666,0.44135933359059965,72.0,liu_weighted_median,15,28.723030127526126,cs_091339,1a,1.0,remote_amplitudes
8.675,11.954335033923837,,0.0027777777777777775,1.872531897483562,5.316826947429845,0.44135933359059965,72.0,quality_mrc,15,37.802132955894336,cs_091339,1a,1.0,remote_amplitudes
8.675,11.96211443733785,,0.0027777777777777775,1.872531897483562,5.956420484086787,0.44135933359059965,72.0,snr_mrc,15,37.89180907594061,cs_091339,1a,1.0,remote_amplitudes
8.674999999999999,14.048096548921247,,0.12301587301587302,1.767550584181442,6.9970818937964765,0.4317495372543127,72.0,best_tone,14,61.93771237949561,cs_091339,1b,1.0,local_amplitudes
8.674999999999999,8.564305803065666,,0.12301587301587302,1.767550584181442,4.8440139755556855,0.4317495372543127,72.0,equal_average,14,13.677947053416366,cs_091339,1b,1.0,local_amplitudes
8.674999999999999,15.42314516758132,,0.12301587301587302,1.767550584181442,4.045917015648662,0.4317495372543127,72.0,liu_weighted_median,14,77.78841691736388,cs_091339,1b,1.0,local_amplitudes
8.674999999999999,8.569964157566494,,0.12301587301587302,1.767550584181442,3.95112793129908,0.4317495372543127,72.0,quality_mrc,14,13.418787604459604,cs_091339,1b,1.0,local_amplitudes
8.674999999999999,9.981558516163899,,0.12301587301587302,1.767550584181442,3.1299588015138275,0.4317495372543127,72.0,snr_mrc,14,23.86474425505698,cs_091339,1b,1.0,local_amplitudes
8.674999999999999,9.247559153897308,,0.002976190476190476,1.3847147877030481,7.30686346517124,0.3924381912646776,72.0,best_tone,14,10.61518156662895,cs_091339,1b,1.0,phases
8.674999999999999,12.84845573384847,,0.002976190476190476,1.3847147877030481,2.5009281601351097,0.3924381912646776,72.0,equal_average,14,48.108999813815196,cs_091339,1b,1.0,phases
8.674999999999999,10.454727506077585,,0.002976190476190476,1.3847147877030481,3.5135214661378624,0.3924381912646776,72.0,liu_weighted_median,14,20.51559084815658,cs_091339,1b,1.0,phases
8.674999999999999,10.921815697942021,,0.002976190476190476,1.3847147877030481,2.43382747304084,0.3924381912646776,72.0,quality_mrc,14,28.50520632255341,cs_091339,1b,1.0,phases
8.674999999999999,9.630689036438284,,0.002976190476190476,1.3847147877030481,3.677851129978856,0.3924381912646776,72.0,snr_mrc,14,17.41693470940196,cs_091339,1b,1.0,phases
8.674999999999999,11.36029484704533,,0.005952380952380953,1.482266651791656,8.594413249315219,0.44460116270682043,72.0,best_tone,14,30.95440745873581,cs_091339,1b,1.0,remote_amplitudes
8.674999999999999,9.218237693328433,,0.005952380952380953,1.482266651791656,6.3404741240811555,0.44460116270682043,72.0,equal_average,14,6.570340682133755,cs_091339,1b,1.0,remote_amplitudes
8.674999999999999,10.420910934529457,,0.005952380952380953,1.482266651791656,3.5142221872695987,0.44460116270682043,72.0,liu_weighted_median,14,20.125774461434652,cs_091339,1b,1.0,remote_amplitudes
8.674999999999999,9.201409901581126,,0.005952380952380953,1.482266651791656,6.127769350350583,0.44460116270682043,72.0,quality_mrc,14,6.636564952912948,cs_091339,1b,1.0,remote_amplitudes
8.674999999999999,9.092905695338233,,0.005952380952380953,1.482266651791656,10.642979285736244,0.44460116270682043,72.0,snr_mrc,14,7.497471820331817,cs_091339,1b,1.0,remote_amplitudes
14.039999999999996,14.207411710099702,,0.0,1.29288776520562,9.074910136044005,0.39428962828244274,72.0,best_tone,13,11.244379128920643,cs_091339,3,1.0,local_amplitudes
14.039999999999996,14.895231407879722,,0.0,1.29288776520562,3.993683418572398,0.39428962828244274,72.0,equal_average,13,27.774301374542397,cs_091339,3,1.0,local_amplitudes
14.039999999999996,13.501846520354567,,0.0,1.29288776520562,3.6961051968514465,0.39428962828244274,72.0,liu_weighted_median,13,9.060453717000373,cs_091339,3,1.0,local_amplitudes
14.039999999999996,14.577665527510309,,0.0,1.29288776520562,4.208115456488768,0.39428962828244274,72.0,quality_mrc,13,24.32502573722311,cs_091339,3,1.0,local_amplitudes
