bpm_gt,bpm_pred,failure_reason,method,n_tones,n_valid_tones,n_windows,outlier_frac,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,valid,variable,window_end,window_index,window_start
8.675,9.169110644324093,,quality_mrc_single_variable_reference,72,72,,0.0,1.4160762562489393,10.37678807540857,0.37723894916649636,5.695799934571665,cs_091339,1a,True,local_amplitudes,36,0,0
8.675,9.354587397221987,,quality_mrc_single_variable_reference,72,72,,0.0,1.3970092525555708,12.783038080702854,0.3678773064498207,7.833860486708779,cs_091339,1a,True,local_amplitudes,38,1,2
8.675,9.55233519198128,,quality_mrc_single_variable_reference,72,72,,0.0,1.472843766179926,5.5837137069878,0.38323444423988384,10.113373970965753,cs_091339,1a,True,local_amplitudes,40,2,4
8.675,9.878020337609323,,quality_mrc_single_variable_reference,72,72,,0.0,1.3906098951474404,4.814272962068364,0.38376877698867434,13.867669597801985,cs_091339,1a,True,local_amplitudes,42,3,6
8.675,10.23659005140096,,quality_mrc_single_variable_reference,72,72,,0.0,1.343666994962787,4.220180337674322,0.37575050958796324,18.001038056495204,cs_091339,1a,True,local_amplitudes,44,4,8
8.675,10.477378589054439,,quality_mrc_single_variable_reference,72,72,,0.0,1.3642294574071643,3.875923090995098,0.37630073997806857,20.776698432904183,cs_091339,1a,True,local_amplitudes,46,5,10
8.675,10.741366258618289,,quality_mrc_single_variable_reference,72,72,,0.0,1.339013407620965,3.671341587098752,0.3791098286772888,23.819783961017727,cs_091339,1a,True,local_amplitudes,48,6,12
8.675,10.945217766909138,,quality_mrc_single_variable_reference,72,72,,0.0,1.2869355433036989,3.748852636971363,0.3714720000532454,26.169657255436746,cs_091339,1a,True,local_amplitudes,50,7,14
8.675,11.050923410608785,,quality_mrc_single_variable_reference,72,72,,0.0,1.2367023885944564,5.066833502418226,0.370506740173453,27.388166116527774,cs_091339,1a,True,local_amplitudes,52,8,16
8.675,10.960629980513579,,quality_mrc_single_variable_reference,72,72,,0.0,1.1966085952452066,9.003545810605027,0.3588243395474988,26.34731966009888,cs_091339,1a,True,local_amplitudes,54,9,18
8.675,10.656556696457029,,quality_mrc_single_variable_reference,72,72,,0.0,1.2241408453409384,6.469504543902035,0.3582915564641071,22.84215212054211,cs_091339,1a,True,local_amplitudes,56,10,20
8.675,9.856893175161058,,quality_mrc_single_variable_reference,72,72,,0.0,1.1960103596911786,2.877602675506316,0.35666014929648976,13.624128820300378,cs_091339,1a,True,local_amplitudes,58,11,22
8.675,8.50233457678469,,quality_mrc_single_variable_reference,72,72,,0.0,1.2202591038018278,4.771683952949625,0.35485187458661815,1.9903795183321058,cs_091339,1a,True,local_amplitudes,60,12,24
8.675,7.686333289816548,,quality_mrc_single_variable_reference,72,72,,0.0,1.2181631031820448,9.164016572654772,0.3545397115751498,11.396734411336631,cs_091339,1a,True,local_amplitudes,62,13,26
8.675,7.674028464169169,,quality_mrc_single_variable_reference,72,72,,0.0,1.2813732158749227,8.68406766967396,0.3577404140190635,11.538576781911607,cs_091339,1a,True,local_amplitudes,64,14,28
8.675,8.246040990894084,,quality_mrc_single_variable_reference,72,72,,0.0,1.189087419250392,10.715456166321063,0.3423570282956057,4.944772439261288,cs_091339,1b,True,local_amplitudes,36,0,0
8.675,8.41643194290808,,quality_mrc_single_variable_reference,72,72,,0.06944444444444445,1.1373777149574076,6.414527931761305,0.3848250467955903,2.9806116091287707,cs_091339,1b,True,local_amplitudes,38,1,2
8.675,8.525816968783406,,quality_mrc_single_variable_reference,72,72,,0.1111111111111111,1.4457286510647431,4.390746383129161,0.4064969398635907,1.7196891206523859,cs_091339,1b,True,local_amplitudes,40,2,4
8.675,8.67494541718774,,quality_mrc_single_variable_reference,72,72,,0.1527777777777778,1.543324620019984,3.634507456650731,0.42506938811596373,0.0006291966831252673,cs_091339,1b,True,local_amplitudes,42,3,6
8.675,8.732601974691589,,quality_mrc_single_variable_reference,72,72,,0.1527777777777778,1.6239144766597375,3.138248080463394,0.43264991690588933,0.6639997082603791,cs_091339,1b,True,local_amplitudes,44,4,8
8.675,8.470790381567909,,quality_mrc_single_variable_reference,72,72,,0.16666666666666666,1.7324717398846454,3.0884638378573426,0.4390511816179768,2.3540013652114333,cs_091339,1b,True,local_amplitudes,46,5,10
8.675,8.264128225066685,,quality_mrc_single_variable_reference,72,72,,0.19444444444444445,1.8692235195844864,3.427479399717753,0.45771136392453066,4.7362740626318836,cs_091339,1b,True,local_amplitudes,48,6,12
8.675,8.01152468570581,,quality_mrc_single_variable_reference,72,72,,0.1527777777777778,1.9475909505228697,3.687764422000875,0.4743762259077335,7.6481304241405255,cs_091339,1b,True,local_amplitudes,50,7,14
8.675,7.721221858105171,,quality_mrc_single_variable_reference,72,72,,0.1527777777777778,2.038624084639542,4.04390840278106,0.4614446883750656,10.99456071348507,cs_091339,1b,True,local_amplitudes,52,8,16
8.675,7.388656984549084,,quality_mrc_single_variable_reference,72,72,,0.09722222222222222,2.05431528804526,3.320351484411569,0.4567076966547261,14.828161561393848,cs_091339,1b,True,local_amplitudes,54,9,18
8.675,7.178507012884239,,quality_mrc_single_variable_reference,72,72,,0.125,2.0096398947866687,2.9399818557666113,0.4419687410471553,17.250639620930965,cs_091339,1b,True,local_amplitudes,56,10,20
8.675,7.070821709963815,,quality_mrc_single_variable_reference,72,72,,0.1111111111111111,2.0172965247367367,2.851578152311963,0.4322660306039374,18.491968761224037,cs_091339,1b,True,local_amplitudes,58,11,22
8.675,7.247304152541352,,quality_mrc_single_variable_reference,72,72,,0.125,2.042280476025762,2.2836906588905914,0.42680318802562955,16.45758901969624,cs_091339,1b,True,local_amplitudes,60,12,24
8.675,16.030705901081966,,quality_mrc_single_variable_reference,72,72,,0.1111111111111111,2.09483281836195,1.379086806123695,0.462766085426984,84.79199885973446,cs_091339,1b,True,local_amplitudes,62,13,26
11.49,nan,segment_too_short_or_no_tones,quality_mrc_single_variable_reference,,,0,,,,,nan,cs_091339,2a,False,local_amplitudes,,0,
11.49,nan,segment_too_short_or_no_tones,quality_mrc_single_variable_reference,,,0,,,,,nan,cs_091339,2b,False,local_amplitudes,,0,
14.04,19.18142088381185,,quality_mrc_single_variable_reference,72,72,,0.0,1.36736406977937,7.323995109056022,0.39496828028716985,36.61980686475677,cs_091339,3,True,local_amplitudes,36,0,0
14.04,19.12541624883545,,quality_mrc_single_variable_reference,72,72,,0.0,1.3251177438594282,6.273723331790928,0.3887085497793911,36.22091345324395,cs_091339,3,True,local_amplitudes,38,1,2
14.04,19.018793471902406,,quality_mrc_single_variable_reference,72,72,,0.0,1.3489570184029693,5.323706086844039,0.3890794677180026,35.461491965116856,cs_091339,3,True,local_amplitudes,40,2,4
14.04,18.868743533747192,,quality_mrc_single_variable_reference,72,72,,0.0,1.3171401557678182,4.370516974964322,0.3789539391830916,34.3927602118746,cs_091339,3,True,local_amplitudes,42,3,6
14.04,19.035519187232502,,quality_mrc_single_variable_reference,72,72,,0.0,1.239610020646381,1.8177272206857582,0.37366937164441066,35.5806209916845,cs_091339,3,True,local_amplitudes,44,4,8
14.04,14.703951091077418,,quality_mrc_single_variable_reference,72,72,,0.0,1.238531824586009,1.4086217349868122,0.36656586625049936,4.728996375195289,cs_091339,3,True,local_amplitudes,46,5,10
14.04,13.881736186812333,,quality_mrc_single_variable_reference,72,72,,0.0,1.2156602888154546,2.266403623625017,0.36924834705734744,1.1272351366642903,cs_091339,3,True,local_amplitudes,48,6,12
14.04,12.928991291641825,,quality_mrc_single_variable_reference,72,72,,0.0,1.196648974019198,3.1978157589893237,0.38061266127093724,7.913167438448533,cs_091339,3,True,local_amplitudes,50,7,14
