bpm_gt,bpm_pred,failure_reason,level,method,n_tones,n_valid_tones,outlier_frac,quality,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,selected_variable,valid,variable,variables_used,window_index
8.675,8.178471338109029,,channel,best_tone,72,72,0.0,0.5111492469789839,1.4160762562489393,12.619077016122867,0.37723894916649636,5.723673335918984,cs_091339,1a,,True,local_amplitudes,,0
8.675,9.141268553241163,,channel,equal_average,72,72,0.0,0.5111492469789839,1.4160762562489393,9.474598995761081,0.37723894916649636,5.374853639667579,cs_091339,1a,,True,local_amplitudes,,0
8.675,9.876067399507244,,channel,liu_weighted_median,72,72,0.0,1.4160762562489393,1.4160762562489393,4.223790380785984,0.37723894916649636,13.845157343022976,cs_091339,1a,,True,local_amplitudes,,0
8.675,9.126712808288268,,channel,snr_mrc,72,72,0.0,0.5111492469789839,1.4160762562489393,13.724896497292578,0.37723894916649636,5.207064072487229,cs_091339,1a,,True,local_amplitudes,,0
8.675,9.169110644324093,,channel,quality_mrc,72,72,0.0,0.5111492469789839,1.4160762562489393,10.37678807540857,0.37723894916649636,5.695799934571665,cs_091339,1a,,True,local_amplitudes,,0
8.675,10.497337152759222,,channel,best_tone,72,72,0.0,0.5508886145259085,1.6130697066799589,6.215946035335023,0.41457035760042954,21.0067683315184,cs_091339,1a,,True,remote_amplitudes,,0
8.675,14.53837286952499,,channel,equal_average,72,72,0.0,0.5406501314000711,1.6130697066799589,5.6716418564405044,0.41457035760042954,67.58931261700275,cs_091339,1a,,True,remote_amplitudes,,0
8.675,11.582362744325739,,channel,liu_weighted_median,72,72,0.0,1.6130697066799589,1.6130697066799589,4.495993871221289,0.41457035760042954,33.51426794611802,cs_091339,1a,,True,remote_amplitudes,,0
8.675,14.624855328884758,,channel,snr_mrc,72,72,0.0,0.5291774677142755,1.6130697066799589,5.318190519159654,0.41457035760042954,68.58622857504042,cs_091339,1a,,True,remote_amplitudes,,0
8.675,14.48530828437561,,channel,quality_mrc,72,72,0.0,0.5225414143092851,1.6130697066799589,5.120613648867731,0.41457035760042954,66.97761711095802,cs_091339,1a,,True,remote_amplitudes,,0
8.675,11.27807259063904,,channel,best_tone,72,72,0.0,0.5260839495624984,1.3580301099178325,11.16720658480327,0.4288602043383132,30.006600468461542,cs_091339,1a,,True,phases,,0
8.675,11.967727117455068,,channel,equal_average,72,72,0.0,0.39357176802981864,1.3580301099178325,2.5122213821266324,0.4288602043383132,37.95650855855985,cs_091339,1a,,True,phases,,0
8.675,11.297438834571128,,channel,liu_weighted_median,72,72,0.0,1.3580301099178325,1.3580301099178325,3.7590230922992824,0.4288602043383132,30.229842473442393,cs_091339,1a,,True,phases,,0
8.675,11.717022515918424,,channel,snr_mrc,72,72,0.0,0.49804403099065075,1.3580301099178325,5.090838418262501,0.4288602043383132,35.0665419702412,cs_091339,1a,,True,phases,,0
8.675,11.851675026623077,,channel,quality_mrc,72,72,0.0,0.42458386562524675,1.3580301099178325,3.1541079618117513,0.4288602043383132,36.618732295366875,cs_091339,1a,,True,phases,,0
8.675,9.901282538550104,,channel,best_tone,72,72,0.0,0.5046002132484141,1.3970092525555708,6.522649131918069,0.3678773064498207,14.13582177003001,cs_091339,1a,,True,local_amplitudes,,1
8.675,9.353199092462333,,channel,equal_average,72,72,0.0,0.5046002132484141,1.3970092525555708,12.127583046457111,0.3678773064498207,7.817856973629189,cs_091339,1a,,True,local_amplitudes,,1
8.675,9.901282538550104,,channel,liu_weighted_median,72,72,0.0,1.3970092525555708,1.3970092525555708,3.9520968926937283,0.3678773064498207,14.13582177003001,cs_091339,1a,,True,local_amplitudes,,1
