bpm_gt,bpm_pred,failure_reason,mean_outlier_frac,mean_pr,mean_snr,mean_stability,median_n_valid_tones,n_windows,rel_err_pct,scenario,segment,valid_window_rate,variable
8.675,9.061296417481039,,0.015,2.873762239217448,9.617626515446487,0.5933006362351124,72.0,25,5.914272027565201,cs_102621,1a,1.0,local_amplitudes
8.675,9.724691112136211,,0.052222222222222225,2.1257850364093174,8.313469385925272,0.47736534237220446,72.0,25,17.124378457906474,cs_102621,1a,1.0,phases
8.675,10.765121869150562,,0.008888888888888889,1.8684630844390542,5.378479635237054,0.4284938732130079,72.0,25,24.093623851879673,cs_102621,1a,1.0,remote_amplitudes
8.675000000000002,10.083661025411558,,0.04115226337448558,3.512973758652733,7.843448229020758,0.5406199285251588,72.0,27,16.238167439902675,cs_102621,1b,1.0,local_amplitudes
8.675000000000002,8.619241979482188,,0.05144032921810699,2.16491650532705,15.604557139837814,0.49190449741399367,72.0,27,7.570218477345424,cs_102621,1b,1.0,phases
8.675000000000002,10.224112415222528,,0.05555555555555555,2.524749946899845,6.138439084739486,0.4616658921128998,72.0,27,17.857203633689057,cs_102621,1b,1.0,remote_amplitudes
11.49,12.883739813636835,,0.02314814814814815,1.7371434334626574,3.5791282629207153,0.5250009525050712,72.0,3,12.130024487700894,cs_102621,2a,1.0,local_amplitudes
11.49,13.550167729438847,,0.0,1.711436638756843,5.052376303223994,0.5023448868205435,72.0,3,17.93009338066881,cs_102621,2a,1.0,phases
11.49,12.42033859720029,,0.0,1.5812554688282452,1.5148278332761989,0.44988390135643413,72.0,3,23.478815683383832,cs_102621,2a,1.0,remote_amplitudes
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_102621,2b,0.0,local_amplitudes
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_102621,2b,0.0,phases
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_102621,2b,0.0,remote_amplitudes
14.040000000000001,13.67321238978989,,0.024572649572649572,2.651609716942475,5.592433170944696,0.49847684047337687,72.0,26,4.6985427210339665,cs_102621,3,1.0,local_amplitudes
14.040000000000001,13.505276483686883,,0.014423076923076924,1.8492622005953523,4.9755750803346075,0.42702503457983226,72.0,26,7.543099756519627,cs_102621,3,1.0,phases
14.040000000000001,14.120006954629957,,0.017094017094017092,2.206515130332918,3.705476993057267,0.47578641027514823,72.0,26,8.371678927849606,cs_102621,3,1.0,remote_amplitudes
16.17,16.187605352955234,,0.0,1.3756345918707265,5.035902526712579,0.38205353216427257,72.0,6,3.492036100018961,cs_102621,4a,1.0,local_amplitudes
16.17,6.542088802094059,,0.0,1.3134271001549374,3.4053991131707186,0.4260231952683104,72.0,6,59.54181322143438,cs_102621,4a,1.0,phases
16.17,13.739979690685113,,0.0,1.32785108986873,3.704289114795015,0.37869287135155055,72.0,6,15.027954912275126,cs_102621,4a,1.0,remote_amplitudes
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_102621,4b,0.0,local_amplitudes
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_102621,4b,0.0,phases
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_102621,4b,0.0,remote_amplitudes
